SERIES NAME	SERIES CODE	BILLING ALLOWED	SINGLE REF A/C	GST DOCUMENT TYPE	GST -> ALPHABET ADD (SUFFIX) IN BILL/NOTE NO.	BILLING FORM NAME	BILLING SALE/PUR A/C	BILLING A/C TYPE	STOCK TYPE	NO. SERIES	PREVIOUS LINK	NEXT LINK	DISCOUNT JVS	0 GRACE FOR INTEREST CALCULATION	DISC. A/C	DESIGN NOS. ENTRY	TDS %	TDS A/C	STOCK EFFECT	COMPULSORY LINK	SHOW ALL ENTRIES IN PICK	ALL COMPANIES DATA IN PICK	COPY ITEM DETAILS ALSO AFTER REF NO. (PICK) ENTRY	WARN ON MANUAL ENTRY OF V NO.	GST -> SINGLE GST RATE FOR ALL ITEMS IN BILL	GST -> DEFAULT HSN/SAC CODE	GST -> ELIGIBILITY FOR INPUT TAX CREDIT (PURCHASES)	CGST %	SGST %	GST A/C	OLD VAT A/C	STAGE GROUP	MAIN STAGE/LINK	FINAL STAGE OF JOB CARD	INCLUDE COSTING OF STAGE	SCAN PATH	TCS A/C
OPENING BALANCE	00	0	0				OPENING BALANCE		FINISH				0	0		0	0			0	0	0	0	1	0			0						0	0		
BANK RECEIPT	B1	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
BANK PAYMENT	B2	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
CASH RECEIPT	C1	0	0				CASH A/C						0	0		0	0			0	0	0	0	1	0			0						0	0		
CASH PAYMENT	C2	0	0				CASH A/C						0	0		0	0			0	0	0	0	1	0			0						0	0		
EXPENSES	E1	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
JOB WORK	J1	1	-1	Inward Invoices (All Purchases)		JOBBILL	JOB CHARGES A/C	CREDITORS FOR JOB WORK					1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	1	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
JOURNAL	J2	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
WORK DESP ALL	O	0	0										0	0		0				0	0	0	0	0	0			0						0	0		
SALES ORDERS	O1	1	-1	Sales Orders		CHALLAN		SUNDRY DEBTORS				FINISH SALES	0	0		0	0			0	0	0	0	1	0			2.5	2.5					0	0		
WORK DESP LACE CHALLAN	O11	1	-1	Delivery Challan for job work	L	CHALLAN		CREDITORS FOR EMB.JOB CHARGE				WORK REC LACE CHALLAN	0	0		0	0			0	0	0	0	1	0			0	0					0	0		
WORK DESP POONAM LACE CHALLAN	O12	1	-1	Delivery Challan for job work	PL	CHALLAN		CREDITORS FOR EMB.JOB CHARGE				WORK REC. POONAM LACE BILLS	0	0		0	0			0	0	0	0	1	0			0	0					0	0		
WORK DESP.LACE SUIT CHALLAN	O15	1	-1	Delivery Challan for job work	LS	CHALLAN		CREDITORS FOR EMB.JOB CHARGE	WORK			WORK REC. LACE SUIT BILLS	0	0		0	0		-1	0	0	0	0	1	0			0						0	0		
STOCK TRANSFER	O41	1	-1			STOCKTFR			WORK				0	0		0			1	0	0	0	0	1	0			0						0	0		
WORK DESP POONAM CHALLAN	O45	1	-1	Delivery Challan for job work	WP	CHALLAN		CREDITORS FOR EMB.JOB CHARGE	WORK			WORK REC. POONAM BILLS	0	0		0	0			0	0	0	0	1	0			0						0	0		
WORK DESP CHALLAN	O5	1	-1	Delivery Challan for job work		CHALLAN		CREDITORS FOR EMB.JOB CHARGE	WORK			WORK REC. BILLS	0	0		0	0		-1	0	0	0	0	1	0			0						0	0		
SALES CHALLAN	O57	1	-1	Delivery Challan for supply on approval		CHALLAN		SUNDRY DEBTORS				FINISH SALES (GST)	0	0		0	0			0	0	0	0	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		
WORK DESP.SUIT CHALLAN	O7	1	-1	Delivery Challan for job work	WS	CHALLAN		CREDITORS FOR EMB.JOB CHARGE	WORK			WORK REC. SUIT BILLS	0	0		0	0		-1	0	0	0	0	1	0			0						0	0		
ADVANCE RECEIPT VOUCHER	OA	1	-1	Receipt Voucher	ADV	BILLSDIR							0	0		0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		
ADVANCE REFUND VOUCHER	OF	1	-1	Refund Voucher	RFV	BILLSDIR							0	0		0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		
REVERSE CHARGE SALES TO SELF	OR	1	-1	Invoices for inward supply from unregistered person		CHALLAN							0	0		0	0			0	0	0	0	1	0			2.5	2.5	GST PAYABLE A/C				0	0		
PURCHASES (ALL)	P	1	0					CREDITORS FOR GREY					0	0		0	0			0	0	0	0	1	0			0						0	0		
GREY PURCHASE	P1	1	-1	Inward Invoices (All Purchases)		PURBILL	GREY PURCHASE	CREDITORS FOR GREY	GREY				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1	5407	Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
VALUE ADDITION PURCHASE	P10	1	-1	Inward Invoices (All Purchases)		CHALLAN	VALUE ADD.A/C	CREDITORS FOR GOODS	FINISH				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1		Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
WORK REC LACE CHALLAN	P11	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP LACE CHALLAN	WORK REC. LACE BILLS	1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	0	0					0	0		
SALARY EXP A/C	P12	1	-1	Inward Invoices (All Purchases)		CHALLAN	SALARY A/C	P & L EXPENSES					1	0	DISCOUNT A/C	0	0			0	0	0	0	1	0			2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
WORK REC. POONAM LACE BILLS	P13	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP POONAM LACE CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. LACE SUIT BILLS	P15	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP.LACE SUIT CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
FINISH PURCHASE	P2	1	-1	Inward Invoices (All Purchases)		CHALLAN	FINISH PURCHASE	CREDITORS FOR GOODS	FINISH				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1	5407	Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
SALES GOODS RETURN	P3	1	-1	Credit Note		CHALLAN	SALES RETURN	SUNDRY DEBTORS	FINISH				1	1	DISCOUNT A/C	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. LACE BILLS	P31	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP LACE CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
PACKING MATERIAL	P4	1	-1	Inward Invoices (All Purchases)		CHALLAN	PACKING MATERIAL PURCHASE	CREDITORS FOR PACKING MAT.					1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	0		Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. POONAM BILLS	P45	1	-1	Inward Invoices (All Purchases)	WP	CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP POONAM CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. CHALLAN	P5	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK				1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C	1	0	0	0	0	1	1	9988	Input Services	0	0					0	0		
BOX PURCHASES	P6	1	-1	Inward Invoices (All Purchases)		CHALLAN	PACKING MATERIAL PURCHASE	CREDITORS FOR PACKING MAT.	BOX				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
